pathway,hugo_gene
Inflammation mediated by chemokine and cytokine signaling pathway,Pak3
Inflammation mediated by chemokine and cytokine signaling pathway,Grap2
Inflammation mediated by chemokine and cytokine signaling pathway,Tcf3
Inflammation mediated by chemokine and cytokine signaling pathway,Ccr8
Inflammation mediated by chemokine and cytokine signaling pathway,Camk2g
Inflammation mediated by chemokine and cytokine signaling pathway,Ifnar1
Endogenous_cannabinoid_signaling,Gng11
Endogenous_cannabinoid_signaling,Gng10
Endogenous_cannabinoid_signaling,Gnai3
Endogenous_cannabinoid_signaling,Gngt2
Endogenous_cannabinoid_signaling,Gnb2
Endogenous_cannabinoid_signaling,Gng5
Endogenous_cannabinoid_signaling,Gnb4
Endogenous_cannabinoid_signaling,Gnb1
Thiamine metabolism,Itpa
Thiamine metabolism,Tpk1
PI3 kinase pathway,Kras
PI3 kinase pathway,Gna11
PI3 kinase pathway,Grb2
PI3 kinase pathway,Gngt2
PI3 kinase pathway,Gnb4
PI3 kinase pathway,Pdpk1
PI3 kinase pathway,Akt2
PI3 kinase pathway,Pik3ca
PI3 kinase pathway,Rps6kb2
PI3 kinase pathway,Pik3r1
PI3 kinase pathway,Pik3r5
PI3 kinase pathway,Jak2
PI3 kinase pathway,Sos1
PI3 kinase pathway,Hras
PI3 kinase pathway,Rps6kb1
PI3 kinase pathway,Sos2
PI3 kinase pathway,Gnb2
PI3 kinase pathway,Nras
PI3 kinase pathway,Foxo1
PI3 kinase pathway,Gnai2
PI3 kinase pathway,Gnb1
PI3 kinase pathway,Ywhaz
PI3 kinase pathway,Gnai3
PI3 kinase pathway,Gsk3b
PI3 kinase pathway,Ccnd2
PI3 kinase pathway,Akt1
PI3 kinase pathway,Pten
p53 pathway feedback loops 2,Dgka
p53 pathway feedback loops 2,Mapk14
p53 pathway feedback loops 2,Mdm2
p53 pathway feedback loops 2,Cdkn1a
p53 pathway feedback loops 2,Kras
p53 pathway feedback loops 2,Pik3c2a
p53 pathway feedback loops 2,Pik3cg
p53 pathway feedback loops 2,Ccne1
p53 pathway feedback loops 2,Pdpk1
p53 pathway feedback loops 2,Myc
p53 pathway feedback loops 2,Akt2
p53 pathway feedback loops 2,Pik3ca
p53 pathway feedback loops 2,Ppp2cb
p53 pathway feedback loops 2,Stat1
p53 pathway feedback loops 2,Tp53
p53 pathway feedback loops 2,Pik3r1
p53 pathway feedback loops 2,Ctnnb1
p53 pathway feedback loops 2,Pik3r5
p53 pathway feedback loops 2,Pik3cd
p53 pathway feedback loops 2,E2f3
p53 pathway feedback loops 2,Atr
p53 pathway feedback loops 2,Hras
p53 pathway feedback loops 2,Mdm4
p53 pathway feedback loops 2,Rb1
p53 pathway feedback loops 2,Ccna2
p53 pathway feedback loops 2,Nras
p53 pathway feedback loops 2,Ccng1
p53 pathway feedback loops 2,Ppm1d
p53 pathway feedback loops 2,Pik3c3
p53 pathway feedback loops 2,Rbl1
p53 pathway feedback loops 2,Atm
p53 pathway feedback loops 2,Akt1
p53 pathway feedback loops 2,Cdk2
p53 pathway feedback loops 2,Pten
p53 pathway feedback loops 2,Ppp2ca
Tyrosine biosynthesis,Got2
Apoptosis signaling pathway,Creb1
Apoptosis signaling pathway,Bcl2a1d
Apoptosis signaling pathway,Madd
Apoptosis signaling pathway,Birc3
Apoptosis signaling pathway,Nfkbia
Apoptosis signaling pathway,Fas
Apoptosis signaling pathway,Hspa5
Apoptosis signaling pathway,Mcm5
Apoptosis signaling pathway,Prkra
Apoptosis signaling pathway,Faslg
Apoptosis signaling pathway,Map2k4
Apoptosis signaling pathway,Rel
Apoptosis signaling pathway,Tnfsf10
Apoptosis signaling pathway,Daxx
Apoptosis signaling pathway,Mcl1
Apoptosis signaling pathway,Atf2
Apoptosis signaling pathway,Prkcb
Apoptosis signaling pathway,Casp3
Apoptosis signaling pathway,Akt1
Apoptosis signaling pathway,Tnf
Apoptosis signaling pathway,Bag1
Apoptosis signaling pathway,Birc2
Apoptosis signaling pathway,Bag4
Apoptosis signaling pathway,Prkcq
Apoptosis signaling pathway,Bcl2l11
Apoptosis signaling pathway,Cycs
Apoptosis signaling pathway,Igf2r
Apoptosis signaling pathway,Gzme
Apoptosis signaling pathway,Casp7
Apoptosis signaling pathway,Klhl20
Apoptosis signaling pathway,Atf6b
Apoptosis signaling pathway,Atf3
Apoptosis signaling pathway,Tnfrsf1a
Apoptosis signaling pathway,Tmbim6
Apoptosis signaling pathway,Hspa1b
Apoptosis signaling pathway,Chuk
Apoptosis signaling pathway,Apaf1
Apoptosis signaling pathway,Map4k1
Apoptosis signaling pathway,Crem
Apoptosis signaling pathway,Cflar
Apoptosis signaling pathway,Gzmf
Apoptosis signaling pathway,Bag3
Apoptosis signaling pathway,Gzmg
Apoptosis signaling pathway,Gzmd
Apoptosis signaling pathway,Atf4
Apoptosis signaling pathway,Relb
Apoptosis signaling pathway,Fos
Apoptosis signaling pathway,Jun
Apoptosis signaling pathway,Pik3cg
Apoptosis signaling pathway,Bcl2
Apoptosis signaling pathway,Mapk9
Apoptosis signaling pathway,Tp53
Apoptosis signaling pathway,Map2k7
Apoptosis signaling pathway,Eif2s1
Apoptosis signaling pathway,Prkce
Apoptosis signaling pathway,Bax
Apoptosis signaling pathway,Atf1
Apoptosis signaling pathway,Traf6
Apoptosis signaling pathway,Jdp2
Apoptosis signaling pathway,Xiap
Apoptosis signaling pathway,Bcl2l1
Apoptosis signaling pathway,Rela
Apoptosis signaling pathway,Hspa13
Apoptosis signaling pathway,Ripk1
Apoptosis signaling pathway,Mapk3
Apoptosis signaling pathway,Map3k14
Apoptosis signaling pathway,Prkca
Apoptosis signaling pathway,Ikbkb
Apoptosis signaling pathway,Mapk1
Apoptosis signaling pathway,Diablo
Apoptosis signaling pathway,Fadd
Apoptosis signaling pathway,Casp8
Apoptosis signaling pathway,Gzmb
Apoptosis signaling pathway,Bak1
Apoptosis signaling pathway,Map4k2
Apoptosis signaling pathway,Atf6
Apoptosis signaling pathway,Nfkb2
Apoptosis signaling pathway,Map3k1
Apoptosis signaling pathway,Atf7
Apoptosis signaling pathway,Akt2
Apoptosis signaling pathway,Prkch
Apoptosis signaling pathway,Pik3ca
Apoptosis signaling pathway,Prkcd
Apoptosis signaling pathway,Pik3cd
Apoptosis signaling pathway,Eif2ak2
Apoptosis signaling pathway,Tnfrsf1b
Apoptosis signaling pathway,Hspa2
Apoptosis signaling pathway,Traf2
Apoptosis signaling pathway,Map4k4
Apoptosis signaling pathway,Map2k3
Apoptosis signaling pathway,Nfkb1
Apoptosis signaling pathway,Bcl2a1b
Apoptosis signaling pathway,Batf
Apoptosis signaling pathway,Tradd
Apoptosis signaling pathway,Ltb
Apoptosis signaling pathway,Aifm1
Apoptosis signaling pathway,Endog
Apoptosis signaling pathway,Hspa1a
Apoptosis signaling pathway,Hspa8
Wnt signaling pathway,Gna11
Wnt signaling pathway,Itpr3
Wnt signaling pathway,Actb
Wnt signaling pathway,Hells
Wnt signaling pathway,Arrb2
Wnt signaling pathway,Gnb4
Wnt signaling pathway,Hdac8
Wnt signaling pathway,Srcap
Wnt signaling pathway,Lrp6
Wnt signaling pathway,Ppp2cb
Wnt signaling pathway,Puf60
Wnt signaling pathway,Smarcd1
Wnt signaling pathway,Ppp2r5c
Wnt signaling pathway,Actg1
Wnt signaling pathway,Apc
Wnt signaling pathway,Tp53
Wnt signaling pathway,Ctnnb1
Wnt signaling pathway,Pygo2
Wnt signaling pathway,Hdac1
Wnt signaling pathway,Smarcb1
Wnt signaling pathway,Crebbp
Wnt signaling pathway,Itpr2
Wnt signaling pathway,Smarce1
Wnt signaling pathway,Prkce
Wnt signaling pathway,Fbxw11
Wnt signaling pathway,Csnk1g1
Wnt signaling pathway,Smarca4
Wnt signaling pathway,Map3k7
Wnt signaling pathway,Gna15
Wnt signaling pathway,Ppp3ca
Wnt signaling pathway,Ppp2r5a
Wnt signaling pathway,Hltf
Wnt signaling pathway,Gng5
Wnt signaling pathway,Csnk2a2
Wnt signaling pathway,Itpr1
Wnt signaling pathway,Gnb1
Wnt signaling pathway,Ppp3r1
Wnt signaling pathway,Smarcc1
Wnt signaling pathway,Ppp3cc
Wnt signaling pathway,Prkca
Wnt signaling pathway,Axin1
Wnt signaling pathway,Gng10
Wnt signaling pathway,Csnk1a1
Wnt signaling pathway,Smarca5
Wnt signaling pathway,Tcf7l1
Wnt signaling pathway,Ep400
Wnt signaling pathway,Prkcb
Wnt signaling pathway,Ppp2ca
Wnt signaling pathway,Smarcd2
Wnt signaling pathway,Smarcc2
Wnt signaling pathway,Ctnna1
Wnt signaling pathway,Tbl1x
Wnt signaling pathway,Tnf
Wnt signaling pathway,Siah2
Wnt signaling pathway,Csnk1g2
Wnt signaling pathway,Arid1a
Wnt signaling pathway,Stoml2
Wnt signaling pathway,Myc
Wnt signaling pathway,Prkcz
Wnt signaling pathway,Prkch
Wnt signaling pathway,B4galt7
Wnt signaling pathway,Ep300
Wnt signaling pathway,Arhgef6
Wnt signaling pathway,Csnk1g3
Wnt signaling pathway,Prkcd
Wnt signaling pathway,Smad4
Wnt signaling pathway,Prkcq
Wnt signaling pathway,Tle4
Wnt signaling pathway,Tcf7
Wnt signaling pathway,Ppp2r5e
Wnt signaling pathway,Nfatc3
Wnt signaling pathway,Ppp3cb
Wnt signaling pathway,Dvl2
Wnt signaling pathway,Chd1l
Wnt signaling pathway,Tle3
Wnt signaling pathway,Ino80
Wnt signaling pathway,Gnb2
Wnt signaling pathway,Csnk1d
Wnt signaling pathway,Nfatc2
Wnt signaling pathway,Nfatc1
Wnt signaling pathway,Nlk
Wnt signaling pathway,Hdac3
Wnt signaling pathway,Csnk2a1
Wnt signaling pathway,Tcf3
Wnt signaling pathway,Smarca2
Wnt signaling pathway,Csnk2b
Wnt signaling pathway,Ppp2r5d
Wnt signaling pathway,Ctbp1
Wnt signaling pathway,Gsk3b
Wnt signaling pathway,Gng2
Wnt signaling pathway,Hdac2
Wnt signaling pathway,Arid1b
Wnt signaling pathway,Csnk1e
Wnt signaling pathway,Tbl1xr1
Synaptic_vesicle_trafficking,Stx12
Synaptic_vesicle_trafficking,Vamp2
Synaptic_vesicle_trafficking,Sytl3
Synaptic_vesicle_trafficking,Syt11
Synaptic_vesicle_trafficking,Nsf
Synaptic_vesicle_trafficking,Unc13d
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Gngt2
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Gnb2
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Prkaca
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Calm3
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Gng5
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Calm1
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Gnb4
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Gnb1
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Prkacb
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Prkx
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Gng10
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Tcf3
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Gng2
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction,Calm2
TCA cycle,Cs
TCA cycle,Ogdh
TCA cycle,Sdhc
TCA cycle,Suclg1
TCA cycle,Mdh1
TCA cycle,Pdha1
TCA cycle,Aco2
B cell activation,Fos
B cell activation,Kras
B cell activation,Grb2
B cell activation,Jun
B cell activation,Itpr3
B cell activation,Araf
B cell activation,Pik3cg
B cell activation,Rac1
B cell activation,Mapk9
B cell activation,Itpr2
B cell activation,Nfkbia
B cell activation,Ptprc
B cell activation,Ppp3ca
B cell activation,Map3k2
B cell activation,Itpr1
B cell activation,Mapk3
B cell activation,Ppp3cc
B cell activation,Ikbkb
B cell activation,Grap
B cell activation,Mapk1
B cell activation,Ptpn6
B cell activation,Prkcb
B cell activation,Rac2
B cell activation,Mapk14
B cell activation,Nfkb2
B cell activation,Calm3
B cell activation,Lyn
B cell activation,Calm1
B cell activation,Pik3ca
B cell activation,Ighm
B cell activation,Prkcd
B cell activation,Pik3cd
B cell activation,Sos1
B cell activation,Nfkb1
B cell activation,Hras
B cell activation,Nfatc3
B cell activation,Ppp3cb
B cell activation,Sos2
B cell activation,Braf
B cell activation,Nras
B cell activation,Vav1
B cell activation,Nfatc2
B cell activation,Nfatc1
B cell activation,Map2k1
B cell activation,Map2k2
B cell activation,Raf1
B cell activation,Chuk
B cell activation,Vav3
B cell activation,Calm2
B cell activation,Nfkbil1
VEGF signaling pathway,Rac2
VEGF signaling pathway,Mapkapk3
VEGF signaling pathway,Mapk14
VEGF signaling pathway,Kras
VEGF signaling pathway,Pik3c2a
VEGF signaling pathway,Lpxn
VEGF signaling pathway,Araf
VEGF signaling pathway,Pik3cg
VEGF signaling pathway,Sh2d2a
VEGF signaling pathway,Prkcz
VEGF signaling pathway,Prkch
VEGF signaling pathway,Pik3ca
VEGF signaling pathway,Rac1
VEGF signaling pathway,Prkcd
VEGF signaling pathway,Pik3r1
VEGF signaling pathway,Hspb1
VEGF signaling pathway,Pik3cd
VEGF signaling pathway,Prkcq
VEGF signaling pathway,Plcg1
VEGF signaling pathway,Prkce
VEGF signaling pathway,Hras
VEGF signaling pathway,Hif1a
VEGF signaling pathway,Mapk6
VEGF signaling pathway,Braf
VEGF signaling pathway,Ets1
VEGF signaling pathway,Prkd3
VEGF signaling pathway,Nras
VEGF signaling pathway,Prkd2
VEGF signaling pathway,Map2k1
VEGF signaling pathway,Mapk3
VEGF signaling pathway,Mapkapk2
VEGF signaling pathway,Prkca
VEGF signaling pathway,Arhgap1
VEGF signaling pathway,Map2k2
VEGF signaling pathway,Raf1
VEGF signaling pathway,Mapk1
VEGF signaling pathway,Pik3c3
VEGF signaling pathway,Pxn
VEGF signaling pathway,Prkcb
VEGF signaling pathway,Akt1
VEGF signaling pathway,Sphk2
Salvage pyrimidine deoxyribonucleotides,Adat2
Salvage pyrimidine deoxyribonucleotides,Tk1
Metabotropic glutamate receptor group II pathway,Stx12
Metabotropic glutamate receptor group II pathway,Vamp2
Metabotropic glutamate receptor group II pathway,Prkar2a
Metabotropic glutamate receptor group II pathway,Gngt2
Metabotropic glutamate receptor group II pathway,Gnb2
Metabotropic glutamate receptor group II pathway,Snap23
Metabotropic glutamate receptor group II pathway,Vamp3
Metabotropic glutamate receptor group II pathway,Prkaca
Metabotropic glutamate receptor group II pathway,Gng5
Metabotropic glutamate receptor group II pathway,Snap29
Metabotropic glutamate receptor group II pathway,Prkar1a
Metabotropic glutamate receptor group II pathway,Gnai2
Metabotropic glutamate receptor group II pathway,Gnb4
Metabotropic glutamate receptor group II pathway,Gnb1
Metabotropic glutamate receptor group II pathway,Prkacb
Metabotropic glutamate receptor group II pathway,Gng11
Metabotropic glutamate receptor group II pathway,Prkx
Metabotropic glutamate receptor group II pathway,Gng10
Metabotropic glutamate receptor group II pathway,Gnai3
Metabotropic glutamate receptor group II pathway,Gng2
Metabotropic glutamate receptor group II pathway,Vamp8
Anandamide_degradation,Faah
Pyruvate metabolism,Cs
Pyruvate metabolism,Acly
Pyruvate metabolism,Bckdha
Pyruvate metabolism,Pdha1
Pyruvate metabolism,Mdh2
Pyruvate metabolism,Pkm
Cortocotropin releasing factor receptor signaling pathway,Vamp2
Cortocotropin releasing factor receptor signaling pathway,Gna11
Cortocotropin releasing factor receptor signaling pathway,Gngt2
Cortocotropin releasing factor receptor signaling pathway,Gnb2
Cortocotropin releasing factor receptor signaling pathway,Snap23
Cortocotropin releasing factor receptor signaling pathway,Vamp3
Cortocotropin releasing factor receptor signaling pathway,Gng5
Cortocotropin releasing factor receptor signaling pathway,Snap29
Cortocotropin releasing factor receptor signaling pathway,Gnas
Cortocotropin releasing factor receptor signaling pathway,Gnb4
Cortocotropin releasing factor receptor signaling pathway,Gnb1
Cortocotropin releasing factor receptor signaling pathway,Gng10
Cortocotropin releasing factor receptor signaling pathway,Tcf3
Cortocotropin releasing factor receptor signaling pathway,Mrpl16
Cortocotropin releasing factor receptor signaling pathway,Gng2
Cortocotropin releasing factor receptor signaling pathway,Vamp8
SCW_signaling_pathway,Twsg1
Insulin/IGF pathway-protein kinase B signaling cascade,Mdm2
Insulin/IGF pathway-protein kinase B signaling cascade,Igf2r
Insulin/IGF pathway-protein kinase B signaling cascade,Pik3c2a
Insulin/IGF pathway-protein kinase B signaling cascade,Tsc2
Insulin/IGF pathway-protein kinase B signaling cascade,Pik3cg
Insulin/IGF pathway-protein kinase B signaling cascade,Foxo1
Insulin/IGF pathway-protein kinase B signaling cascade,Pdpk1
Insulin/IGF pathway-protein kinase B signaling cascade,Cdk19
Insulin/IGF pathway-protein kinase B signaling cascade,Akt2
Insulin/IGF pathway-protein kinase B signaling cascade,Pik3ca
Insulin/IGF pathway-protein kinase B signaling cascade,Pik3c3
Insulin/IGF pathway-protein kinase B signaling cascade,Pik3r1
Insulin/IGF pathway-protein kinase B signaling cascade,Pik3r5
Insulin/IGF pathway-protein kinase B signaling cascade,Pik3cd
Insulin/IGF pathway-protein kinase B signaling cascade,Gsk3b
Insulin/IGF pathway-protein kinase B signaling cascade,Gsk3a
Insulin/IGF pathway-protein kinase B signaling cascade,Akt1
Insulin/IGF pathway-protein kinase B signaling cascade,Mdm4
Insulin/IGF pathway-protein kinase B signaling cascade,Pten
Opioid prodynorphin pathway,Vamp2
Opioid prodynorphin pathway,Gngt2
Opioid prodynorphin pathway,Gnb2
Opioid prodynorphin pathway,Snap23
Opioid prodynorphin pathway,Vamp3
Opioid prodynorphin pathway,Gng5
Opioid prodynorphin pathway,Snap29
Opioid prodynorphin pathway,Gnai2
Opioid prodynorphin pathway,Gnb4
Opioid prodynorphin pathway,Oxt
Opioid prodynorphin pathway,Gnb1
Opioid prodynorphin pathway,Gng10
Opioid prodynorphin pathway,Gnai3
Opioid prodynorphin pathway,Tcf3
Opioid prodynorphin pathway,Mrpl16
Opioid prodynorphin pathway,Gng2
Opioid prodynorphin pathway,Adcy7
Opioid prodynorphin pathway,Vamp8
Pyrimidine Metabolism,Dpysl2
Xanthine and guanine salvage pathway,Hprt1
Xanthine and guanine salvage pathway,Pnp
5HT4 type receptor mediated signaling pathway,Vamp2
5HT4 type receptor mediated signaling pathway,Gngt2
5HT4 type receptor mediated signaling pathway,Gnb2
5HT4 type receptor mediated signaling pathway,Snap23
5HT4 type receptor mediated signaling pathway,Vamp3
5HT4 type receptor mediated signaling pathway,Gng5
5HT4 type receptor mediated signaling pathway,Snap29
5HT4 type receptor mediated signaling pathway,Gnas
5HT4 type receptor mediated signaling pathway,Gnb4
5HT4 type receptor mediated signaling pathway,Gnb1
5HT4 type receptor mediated signaling pathway,Gng10
5HT4 type receptor mediated signaling pathway,Tcf3
5HT4 type receptor mediated signaling pathway,Slc18a1
5HT4 type receptor mediated signaling pathway,Slc6a4
5HT4 type receptor mediated signaling pathway,Mrpl16
5HT4 type receptor mediated signaling pathway,Gng2
5HT4 type receptor mediated signaling pathway,Adcy7
5HT4 type receptor mediated signaling pathway,Vamp8
Mannose metabolism,Gmds
Mannose metabolism,Pmm1
Mannose metabolism,Gmppb
Mannose metabolism,Pmm2
Mannose metabolism,Gmppa
S adenosyl methionine biosynthesis,Mtr
S adenosyl methionine biosynthesis,Cdc42se2
S adenosyl methionine biosynthesis,Mat2a
Phenylethylamine degradation,Aldh16a1
Nicotinic acetylcholine receptor signaling pathway,Myh9
Nicotinic acetylcholine receptor signaling pathway,Stx12
Nicotinic acetylcholine receptor signaling pathway,Vamp2
Nicotinic acetylcholine receptor signaling pathway,Stx11
Nicotinic acetylcholine receptor signaling pathway,Actr1b
Nicotinic acetylcholine receptor signaling pathway,Snap23
Nicotinic acetylcholine receptor signaling pathway,Vamp3
Nicotinic acetylcholine receptor signaling pathway,Actb
Nicotinic acetylcholine receptor signaling pathway,Gripap1
Nicotinic acetylcholine receptor signaling pathway,Snap29
Nicotinic acetylcholine receptor signaling pathway,Myo5a
Nicotinic acetylcholine receptor signaling pathway,Puf60
Nicotinic acetylcholine receptor signaling pathway,Myo9b
Nicotinic acetylcholine receptor signaling pathway,Actg1
Nicotinic acetylcholine receptor signaling pathway,Stx5
Nicotinic acetylcholine receptor signaling pathway,Myo10
Nicotinic acetylcholine receptor signaling pathway,Stx4
Nicotinic acetylcholine receptor signaling pathway,Tpr
Nicotinic acetylcholine receptor signaling pathway,Myo1c
Nicotinic acetylcholine receptor signaling pathway,Myo1e
Nicotinic acetylcholine receptor signaling pathway,Actr1a
Nicotinic acetylcholine receptor signaling pathway,Vamp8
Nicotinic acetylcholine receptor signaling pathway,Myo1g
Nicotinic acetylcholine receptor signaling pathway,Myo1f
Alzheimer disease-presenilin pathway,Ctnna1
Alzheimer disease-presenilin pathway,Actr2
Alzheimer disease-presenilin pathway,Actb
Alzheimer disease-presenilin pathway,Kat5
Alzheimer disease-presenilin pathway,Trim2
Alzheimer disease-presenilin pathway,Ncstn
Alzheimer disease-presenilin pathway,Adam17
Alzheimer disease-presenilin pathway,Lrp6
Alzheimer disease-presenilin pathway,Psen2
Alzheimer disease-presenilin pathway,Puf60
Alzheimer disease-presenilin pathway,Kat7
Alzheimer disease-presenilin pathway,Notch2
Alzheimer disease-presenilin pathway,Actg1
Alzheimer disease-presenilin pathway,Ctnnb1
Alzheimer disease-presenilin pathway,Psen1
Alzheimer disease-presenilin pathway,Rbpj
Alzheimer disease-presenilin pathway,Tcf7
Alzheimer disease-presenilin pathway,Ern1
Alzheimer disease-presenilin pathway,Dvl2
Alzheimer disease-presenilin pathway,Notch1
Alzheimer disease-presenilin pathway,Psenen
Alzheimer disease-presenilin pathway,Pcsk7
Alzheimer disease-presenilin pathway,Aph1a
Alzheimer disease-presenilin pathway,Gsk3b
Alzheimer disease-presenilin pathway,Tcf7l1
Alzheimer disease-presenilin pathway,Cd44
Thyrotropin-releasing hormone receptor signaling pathway,Plcl2
Thyrotropin-releasing hormone receptor signaling pathway,Vamp2
Thyrotropin-releasing hormone receptor signaling pathway,Gna11
Thyrotropin-releasing hormone receptor signaling pathway,Gngt2
Thyrotropin-releasing hormone receptor signaling pathway,Gnb2
Thyrotropin-releasing hormone receptor signaling pathway,Snap23
Thyrotropin-releasing hormone receptor signaling pathway,Vamp3
Thyrotropin-releasing hormone receptor signaling pathway,Gng5
Thyrotropin-releasing hormone receptor signaling pathway,Snap29
Thyrotropin-releasing hormone receptor signaling pathway,Gnb4
Thyrotropin-releasing hormone receptor signaling pathway,Gnb1
Thyrotropin-releasing hormone receptor signaling pathway,Prkcz
Thyrotropin-releasing hormone receptor signaling pathway,Prkch
Thyrotropin-releasing hormone receptor signaling pathway,Prkca
Thyrotropin-releasing hormone receptor signaling pathway,Gng10
Thyrotropin-releasing hormone receptor signaling pathway,Prkcd
Thyrotropin-releasing hormone receptor signaling pathway,Tcf3
Thyrotropin-releasing hormone receptor signaling pathway,Prkcq
Thyrotropin-releasing hormone receptor signaling pathway,Mrpl16
Thyrotropin-releasing hormone receptor signaling pathway,Plcg1
Thyrotropin-releasing hormone receptor signaling pathway,Prkce
Thyrotropin-releasing hormone receptor signaling pathway,Gng2
Thyrotropin-releasing hormone receptor signaling pathway,Prkcb
Thyrotropin-releasing hormone receptor signaling pathway,Vamp8
Pentose phosphate pathway,Taldo1
Pentose phosphate pathway,Hk1
Pentose phosphate pathway,Hk2
Pentose phosphate pathway,Rpia
Pentose phosphate pathway,Tkt
Pentose phosphate pathway,Pgd
Cytoskeletal regulation by Rho GTPase,Myh9
Cytoskeletal regulation by Rho GTPase,Rock2
Cytoskeletal regulation by Rho GTPase,Rac2
Cytoskeletal regulation by Rho GTPase,Rhob
Cytoskeletal regulation by Rho GTPase,Cfl2
Cytoskeletal regulation by Rho GTPase,Rhoc
Cytoskeletal regulation by Rho GTPase,Cdc42
Cytoskeletal regulation by Rho GTPase,Actb
Cytoskeletal regulation by Rho GTPase,Arhgef1
Cytoskeletal regulation by Rho GTPase,Pak2
Cytoskeletal regulation by Rho GTPase,Rock1
Cytoskeletal regulation by Rho GTPase,Cfl1
Cytoskeletal regulation by Rho GTPase,Rac1
Cytoskeletal regulation by Rho GTPase,Puf60
Cytoskeletal regulation by Rho GTPase,Vasp
Cytoskeletal regulation by Rho GTPase,Actg1
Cytoskeletal regulation by Rho GTPase,Tubb5
Cytoskeletal regulation by Rho GTPase,Evl
Cytoskeletal regulation by Rho GTPase,Diaph2
Cytoskeletal regulation by Rho GTPase,Stmn1
Cytoskeletal regulation by Rho GTPase,Arpc5
Cytoskeletal regulation by Rho GTPase,Arpc2
Cytoskeletal regulation by Rho GTPase,Arpc3
Cytoskeletal regulation by Rho GTPase,Ssh2
Cytoskeletal regulation by Rho GTPase,Pfn1
Cytoskeletal regulation by Rho GTPase,Arpc4
Cytoskeletal regulation by Rho GTPase,Diaph3
Cytoskeletal regulation by Rho GTPase,Tubb4b
Cytoskeletal regulation by Rho GTPase,Arpc1b
Cytoskeletal regulation by Rho GTPase,Arhgap1
Cytoskeletal regulation by Rho GTPase,Pak3
Cytoskeletal regulation by Rho GTPase,Tubb6
Cytoskeletal regulation by Rho GTPase,Arpc1a
Cytoskeletal regulation by Rho GTPase,Tubb2a
Cytoskeletal regulation by Rho GTPase,Diaph1
Circadian clock system,Vamp2
Circadian clock system,Csnk1d
Circadian clock system,Cry1
Circadian clock system,Csnk1e
Circadian clock system,Per1
Metabotropic glutamate receptor group III pathway,Stx12
Metabotropic glutamate receptor group III pathway,Vamp2
Metabotropic glutamate receptor group III pathway,Prkar2a
Metabotropic glutamate receptor group III pathway,Gngt2
Metabotropic glutamate receptor group III pathway,Gnb2
Metabotropic glutamate receptor group III pathway,Snap23
Metabotropic glutamate receptor group III pathway,Vamp3
Metabotropic glutamate receptor group III pathway,Prkaca
Metabotropic glutamate receptor group III pathway,Gng5
Metabotropic glutamate receptor group III pathway,Snap29
Metabotropic glutamate receptor group III pathway,Prkar1a
Metabotropic glutamate receptor group III pathway,Vti1a
Metabotropic glutamate receptor group III pathway,Gnai2
Metabotropic glutamate receptor group III pathway,Gnb4
Metabotropic glutamate receptor group III pathway,Gnb1
Metabotropic glutamate receptor group III pathway,Prkacb
Metabotropic glutamate receptor group III pathway,Prkx
Metabotropic glutamate receptor group III pathway,Gng10
Metabotropic glutamate receptor group III pathway,Gnai3
Metabotropic glutamate receptor group III pathway,Gng2
Metabotropic glutamate receptor group III pathway,Vamp8
Integrin signalling pathway,Rhob
Integrin signalling pathway,Kras
Integrin signalling pathway,Pik3c2a
Integrin signalling pathway,Grb2
Integrin signalling pathway,Elmo1
Integrin signalling pathway,Araf
Integrin signalling pathway,Actb
Integrin signalling pathway,Pik3cg
Integrin signalling pathway,Arf6
Integrin signalling pathway,Rap1a
Integrin signalling pathway,Rac1
Integrin signalling pathway,Arpc5l
Integrin signalling pathway,Itgb2
Integrin signalling pathway,Vasp
Integrin signalling pathway,Rhoa
Integrin signalling pathway,Mapk9
Integrin signalling pathway,Sprtn
Integrin signalling pathway,Actg1
Integrin signalling pathway,Csk
Integrin signalling pathway,Pik3r1
Integrin signalling pathway,Lamb3
Integrin signalling pathway,Elmo2
Integrin signalling pathway,Rap2a
Integrin signalling pathway,Itga4
Integrin signalling pathway,Lamc1
Integrin signalling pathway,Map3k4
Integrin signalling pathway,Itgal
Integrin signalling pathway,Actn4
Integrin signalling pathway,Abl1
Integrin signalling pathway,Arhgap26
Integrin signalling pathway,Map3k2
Integrin signalling pathway,Actn1
Integrin signalling pathway,Rap1b
Integrin signalling pathway,Rapgef1
Integrin signalling pathway,Fyn
Integrin signalling pathway,Mapk3
